trash_generated_today,trash_generated_yesterday,trash_generated_2_days_ago,day_of_week_tomorrow,is_weekend_tomorrow,is_holiday_tomorrow,target_trash_generated_tomorrow
45.3,54.7,42.71,4,0,0.0,67.22
67.22,45.3,54.7,5,1,0.0,32.78
32.78,67.22,45.3,6,1,1.0,86.72
86.72,32.78,67.22,0,0,0.0,52.75
52.75,86.72,32.78,1,0,0.0,47.25
47.25,52.75,86.72,2,0,0.0,57.72
57.72,47.25,52.75,3,0,1.0,42.28
42.28,57.72,47.25,4,0,0.0,62.42
62.42,42.28,57.72,5,1,0.0,37.58
37.58,62.42,42.28,6,1,0.0,86.56
86.56,37.58,62.42,0,0,0.0,51.75
51.75,86.56,37.58,1,0,0.0,48.25
48.25,51.75,86.56,2,0,0.0,58.59
58.59,48.25,51.75,3,0,0.0,41.41
41.41,58.59,48.25,4,0,0.0,65.42
65.42,41.41,58.59,5,1,0.0,34.58
34.58,65.42,41.41,6,1,0.0,65.78
65.78,34.58,65.42,0,0,0.0,34.22
34.22,65.78,34.58,1,0,0.0,63.94
63.94,34.22,65.78,2,0,1.0,36.06
36.06,63.94,34.22,3,0,0.0,65.39
65.39,36.06,63.94,4,0,1.0,34.61
34.61,65.39,36.06,5,1,0.0,77.65
77.65,34.61,65.39,6,1,0.0,64.2
64.2,77.65,34.61,0,0,0.0,35.8
35.8,64.2,77.65,1,0,0.0,59.73
59.73,35.8,64.2,2,0,0.0,40.27
40.27,59.73,35.8,3,0,0.0,64.04
64.04,40.27,59.73,4,0,0.0,35.959999999999994
35.959999999999994,64.04,40.27,5,1,0.0,83.7
83.7,35.959999999999994,64.04,6,1,0.0,78.15
78.15,83.7,35.959999999999994,0,0,0.0,51.77
51.77,78.15,83.7,1,0,0.0,48.23
48.23,51.77,78.15,2,0,0.0,63.28
63.28,48.23,51.77,3,0,0.0,36.72
36.72,63.28,48.23,4,0,0.0,66.8
66.8,36.72,63.28,5,1,0.0,33.2
33.2,66.8,36.72,6,1,0.0,63.88
63.88,33.2,66.8,0,0,0.0,36.12
36.12,63.88,33.2,1,0,0.0,55.8
55.8,36.12,63.88,2,0,0.0,44.2
44.2,55.8,36.12,3,0,1.0,81.86
81.86,44.2,55.8,4,0,0.0,84.63
84.63,81.86,44.2,5,1,0.0,81.77
81.77,84.63,81.86,6,1,0.0,86.32
86.32,81.77,84.63,0,0,0.0,59.32
59.32,86.32,81.77,1,0,0.0,40.68
40.68,59.32,86.32,2,0,0.0,51.9
51.9,40.68,59.32,3,0,0.0,48.1
48.1,51.9,40.68,4,0,0.0,71.66
71.66,48.1,51.9,5,1,0.0,63.93
63.93,71.66,48.1,6,1,0.0,36.07
36.07,63.93,71.66,0,0,0.0,51.46
51.46,36.07,63.93,1,0,0.0,48.54
48.54,51.46,36.07,2,0,0.0,68.11
68.11,48.54,51.46,3,0,1.0,31.89
31.89,68.11,48.54,4,0,0.0,75.09
75.09,31.89,68.11,5,1,0.0,74.04
74.04,75.09,31.89,6,1,0.0,64.81
64.81,74.04,75.09,0,0,0.0,35.19
35.19,64.81,74.04,1,0,0.0,54.98
54.98,35.19,64.81,2,0,0.0,45.02
45.02,54.98,35.19,3,0,0.0,64.22
64.22,45.02,54.98,4,0,0.0,35.78
35.78,64.22,45.02,5,1,0.0,80.63
80.63,35.78,64.22,6,1,0.0,74.52
74.52,80.63,35.78,0,0,0.0,73.16
73.16,74.52,80.63,1,0,0.0,69.61
69.61,73.16,74.52,2,0,0.0,30.39
30.39,69.61,73.16,3,0,0.0,56.26
56.26,30.39,69.61,4,0,0.0,43.74
43.74,56.26,30.39,5,1,0.0,65.62
65.62,43.74,56.26,6,1,0.0,34.379999999999995
34.379999999999995,65.62,43.74,0,0,0.0,53.4
53.4,34.379999999999995,65.62,1,0,0.0,46.6
46.6,53.4,34.379999999999995,2,0,0.0,55.86
55.86,46.6,53.4,3,0,0.0,44.14
44.14,55.86,46.6,4,0,0.0,72.69
72.69,44.14,55.86,5,1,0.0,77.53
77.53,72.69,44.14,6,1,0.0,65.17
65.17,77.53,72.69,0,0,0.0,34.83
34.83,65.17,77.53,1,0,0.0,59.71
59.71,34.83,65.17,2,0,0.0,40.29
40.29,59.71,34.83,3,0,0.0,58.01
58.01,40.29,59.71,4,0,0.0,41.99
41.99,58.01,40.29,5,1,0.0,65.27
65.27,41.99,58.01,6,1,0.0,34.730000000000004
34.730000000000004,65.27,41.99,0,0,0.0,56.66
56.66,34.730000000000004,65.27,1,0,0.0,43.34
43.34,56.66,34.730000000000004,2,0,0.0,64.59
64.59,43.34,56.66,3,0,0.0,35.41
