bin_id,date,fullness_today,is_holiday_today,pickup_today
BIN_A04,2024-01-01,17.09,0,0
BIN_A04,2024-01-02,33.63,0,0
BIN_A04,2024-01-03,56.15,0,0
BIN_A04,2024-01-04,76.59,0,0
BIN_A04,2024-01-05,97.57,0,1
BIN_A04,2024-01-06,18.06,0,0
BIN_A04,2024-01-07,48.2,1,0
BIN_A04,2024-01-08,66.06,0,0
BIN_A04,2024-01-09,85.47,0,1
BIN_A04,2024-01-10,20.24,0,0
BIN_A04,2024-01-11,42.19,1,0
BIN_A04,2024-01-12,68.54,0,0
BIN_A04,2024-01-13,90.59,0,1
BIN_A04,2024-01-14,28.69,0,0
BIN_A04,2024-01-15,43.09,0,0
BIN_A04,2024-01-16,57.14,0,0
BIN_A04,2024-01-17,72.59,0,0
BIN_A04,2024-01-18,99.72,0,1
BIN_A04,2024-01-19,21.14,0,0
BIN_A04,2024-01-20,39.41,0,0
BIN_A04,2024-01-21,71.65,0,0
BIN_A04,2024-01-22,99.0,0,1
BIN_A04,2024-01-23,17.75,0,0
BIN_A04,2024-01-24,32.46,1,0
BIN_A04,2024-01-25,50.91,0,0
BIN_A04,2024-01-26,77.0,1,0
BIN_A04,2024-01-27,96.86,0,1
BIN_A04,2024-01-28,23.49,0,0
BIN_A04,2024-01-29,38.01,0,0
BIN_A04,2024-01-30,60.56,0,0
BIN_A04,2024-01-31,89.78,0,1
BIN_A04,2024-02-01,19.59,0,0
BIN_A04,2024-02-02,37.34,0,0
BIN_A04,2024-02-03,63.96,0,0
BIN_A04,2024-02-04,87.4,0,1
BIN_A04,2024-02-05,17.27,0,0
BIN_A04,2024-02-06,34.37,0,0
BIN_A04,2024-02-07,61.64,0,0
BIN_A04,2024-02-08,88.42,0,1
BIN_A04,2024-02-09,25.89,0,0
BIN_A04,2024-02-10,46.1,0,0
BIN_A04,2024-02-11,78.22,0,0
BIN_A04,2024-02-12,100.0,0,1
BIN_A04,2024-02-13,27.09,0,0
BIN_A04,2024-02-14,42.75,0,0
BIN_A04,2024-02-15,60.27,1,0
BIN_A04,2024-02-16,76.16,0,0
BIN_A04,2024-02-17,100.0,0,1
BIN_A04,2024-02-18,23.44,0,0
BIN_A04,2024-02-19,51.36,0,0
BIN_A04,2024-02-20,66.29,0,0
BIN_A04,2024-02-21,91.51,0,1
BIN_A04,2024-02-22,30.48,0,0
BIN_A04,2024-02-23,46.66,0,0
BIN_A04,2024-02-24,75.11,0,0
BIN_A04,2024-02-25,97.33,0,1
BIN_A04,2024-02-26,29.73,0,0
BIN_A04,2024-02-27,55.57,0,0
BIN_A04,2024-02-28,72.84,0,0
BIN_A04,2024-02-29,100.0,1,1
BIN_A04,2024-03-01,21.14,0,0
BIN_A04,2024-03-02,40.1,0,0
BIN_A04,2024-03-03,58.21,0,0
BIN_A04,2024-03-04,79.86,0,0
BIN_A04,2024-03-05,100.0,0,1
BIN_A04,2024-03-06,28.9,0,0
