trash_generated_today,trash_generated_yesterday,trash_generated_2_days_ago,day_of_week_tomorrow,is_weekend_tomorrow,is_holiday_tomorrow,target_trash_generated_tomorrow
20.440000000000005,22.519999999999996,16.540000000000003,4,0,0.0,20.97999999999999
20.97999999999999,20.440000000000005,22.519999999999996,5,1,0.0,18.06
18.06,20.97999999999999,20.440000000000005,6,1,1.0,30.140000000000004
30.140000000000004,18.06,20.97999999999999,0,0,0.0,17.86
17.86,30.140000000000004,18.06,1,0,0.0,19.409999999999997
19.409999999999997,17.86,30.140000000000004,2,0,0.0,20.24
20.24,19.409999999999997,17.86,3,0,1.0,21.95
21.95,20.24,19.409999999999997,4,0,0.0,26.35000000000001
26.35000000000001,21.95,20.24,5,1,0.0,22.049999999999997
22.049999999999997,26.35000000000001,21.95,6,1,0.0,28.69
28.69,22.049999999999997,26.35000000000001,0,0,0.0,14.400000000000002
14.400000000000002,28.69,22.049999999999997,1,0,0.0,14.049999999999997
14.049999999999997,14.400000000000002,28.69,2,0,0.0,15.450000000000003
15.450000000000003,14.049999999999997,14.400000000000002,3,0,0.0,27.129999999999995
27.129999999999995,15.450000000000003,14.049999999999997,4,0,0.0,21.14
21.14,27.129999999999995,15.450000000000003,5,1,0.0,18.269999999999996
18.269999999999996,21.14,27.129999999999995,6,1,0.0,32.24000000000001
32.24000000000001,18.269999999999996,21.14,0,0,0.0,27.349999999999994
27.349999999999994,32.24000000000001,18.269999999999996,1,0,0.0,17.75
17.75,27.349999999999994,32.24000000000001,2,0,1.0,14.71
14.71,17.75,27.349999999999994,3,0,0.0,18.449999999999996
18.449999999999996,14.71,17.75,4,0,1.0,26.090000000000003
26.090000000000003,18.449999999999996,14.71,5,1,0.0,19.86
19.86,26.090000000000003,18.449999999999996,6,1,0.0,23.49
23.49,19.86,26.090000000000003,0,0,0.0,14.52
14.52,23.49,19.86,1,0,0.0,22.550000000000004
22.550000000000004,14.52,23.49,2,0,0.0,29.22
29.22,22.550000000000004,14.52,3,0,0.0,19.59
19.59,29.22,22.550000000000004,4,0,0.0,17.750000000000004
17.750000000000004,19.59,29.22,5,1,0.0,26.619999999999997
26.619999999999997,17.750000000000004,19.59,6,1,0.0,23.440000000000005
23.440000000000005,26.619999999999997,17.750000000000004,0,0,0.0,17.27
17.27,23.440000000000005,26.619999999999997,1,0,0.0,17.099999999999998
17.099999999999998,17.27,23.440000000000005,2,0,0.0,27.270000000000003
27.270000000000003,17.099999999999998,17.27,3,0,0.0,26.78
26.78,27.270000000000003,17.099999999999998,4,0,0.0,25.89
25.89,26.78,27.270000000000003,5,1,0.0,20.21
20.21,25.89,26.78,6,1,0.0,32.12
32.12,20.21,25.89,0,0,0.0,21.78
21.78,32.12,20.21,1,0,0.0,27.09
27.09,21.78,32.12,2,0,0.0,15.66
15.66,27.09,21.78,3,0,1.0,17.520000000000003
17.520000000000003,15.66,27.09,4,0,0.0,15.889999999999993
15.889999999999993,17.520000000000003,15.66,5,1,0.0,23.840000000000003
23.840000000000003,15.889999999999993,17.520000000000003,6,1,0.0,23.44
23.44,23.840000000000003,15.889999999999993,0,0,0.0,27.919999999999998
27.919999999999998,23.44,23.840000000000003,1,0,0.0,14.930000000000007
14.930000000000007,27.919999999999998,23.44,2,0,0.0,25.22
25.22,14.930000000000007,27.919999999999998,3,0,0.0,30.48
30.48,25.22,14.930000000000007,4,0,0.0,16.179999999999996
16.179999999999996,30.48,25.22,5,1,0.0,28.450000000000003
28.450000000000003,16.179999999999996,30.48,6,1,0.0,22.22
22.22,28.450000000000003,16.179999999999996,0,0,0.0,29.73
29.73,22.22,28.450000000000003,1,0,0.0,25.84
25.84,29.73,22.22,2,0,0.0,17.270000000000003
17.270000000000003,25.84,29.73,3,0,1.0,27.159999999999997
27.159999999999997,17.270000000000003,25.84,4,0,0.0,21.14
21.14,27.159999999999997,17.270000000000003,5,1,0.0,18.96
18.96,21.14,27.159999999999997,6,1,0.0,18.11
18.11,18.96,21.14,0,0,0.0,21.65
21.65,18.11,18.96,1,0,0.0,20.14
20.14,21.65,18.11,2,0,0.0,28.9
28.9,20.14,21.65,3,0,0.0,29.47
29.47,28.9,20.14,4,0,0.0,27.220000000000006
27.220000000000006,29.47,28.9,5,1,0.0,33.6
33.6,27.220000000000006,29.47,6,1,0.0,14.740000000000002
14.740000000000002,33.6,27.220000000000006,0,0,0.0,27.33
27.33,14.740000000000002,33.6,1,0,0.0,24.239999999999995
24.239999999999995,27.33,14.740000000000002,2,0,0.0,22.42
22.42,24.239999999999995,27.33,3,0,0.0,18.549999999999997
18.549999999999997,22.42,24.239999999999995,4,0,0.0,24.72
24.72,18.549999999999997,22.42,5,1,0.0,21.450000000000003
21.450000000000003,24.72,18.549999999999997,6,1,0.0,29.77
29.77,21.450000000000003,24.72,0,0,0.0,24.209999999999997
24.209999999999997,29.77,21.450000000000003,1,0,0.0,20.140000000000008
20.140000000000008,24.209999999999997,29.77,2,0,0.0,14.599999999999994
14.599999999999994,20.140000000000008,24.209999999999997,3,0,0.0,24.9
24.9,14.599999999999994,20.140000000000008,4,0,0.0,29.009999999999998
29.009999999999998,24.9,14.599999999999994,5,1,0.0,18.060000000000002
18.060000000000002,29.009999999999998,24.9,6,1,0.0,26.159999999999997
26.159999999999997,18.060000000000002,29.009999999999998,0,0,0.0,22.96
