trash_generated_today,trash_generated_yesterday,trash_generated_2_days_ago,day_of_week_tomorrow,is_weekend_tomorrow,is_holiday_tomorrow,target_trash_generated_tomorrow
23.700000000000003,22.550000000000004,18.939999999999998,4,0,0.0,17.099999999999994
17.099999999999994,23.700000000000003,22.550000000000004,5,1,0.0,31.12
31.12,17.099999999999994,23.700000000000003,6,1,1.0,68.88
68.88,31.12,17.099999999999994,0,0,0.0,17.71
17.71,68.88,31.12,1,0,0.0,22.46
22.46,17.71,68.88,2,0,0.0,19.11
19.11,22.46,17.71,3,0,1.0,40.72
40.72,19.11,22.46,4,0,0.0,30.55
30.55,40.72,19.11,5,1,0.0,35.45
35.45,30.55,40.72,6,1,0.0,24.689999999999998
24.689999999999998,35.45,30.55,0,0,0.0,25.44
25.44,24.689999999999998,35.45,1,0,0.0,17.87
17.87,25.44,24.689999999999998,2,0,0.0,21.269999999999996
21.269999999999996,17.87,25.44,3,0,0.0,23.189999999999998
23.189999999999998,21.269999999999996,17.87,4,0,0.0,29.92
29.92,23.189999999999998,21.269999999999996,5,1,0.0,26.46
26.46,29.92,23.189999999999998,6,1,0.0,30.749999999999993
30.749999999999993,26.46,29.92,0,0,0.0,26.0
26.0,30.749999999999993,26.46,1,0,0.0,20.61
20.61,26.0,30.749999999999993,2,0,1.0,53.39
53.39,20.61,26.0,3,0,0.0,24.62
24.62,53.39,20.61,4,0,0.0,36.019999999999996
36.019999999999996,24.62,53.39,5,1,0.0,30.47
30.47,36.019999999999996,24.62,6,1,0.0,35.09
35.09,30.47,36.019999999999996,0,0,0.0,23.729999999999997
23.729999999999997,35.09,30.47,1,0,0.0,19.619999999999997
19.619999999999997,23.729999999999997,35.09,2,0,0.0,17.24000000000001
17.24000000000001,19.619999999999997,23.729999999999997,3,0,0.0,27.38
27.38,17.24000000000001,19.619999999999997,4,0,0.0,24.330000000000002
24.330000000000002,27.38,17.24000000000001,5,1,0.0,29.859999999999992
29.859999999999992,24.330000000000002,27.38,6,1,0.0,18.430000000000007
18.430000000000007,29.859999999999992,24.330000000000002,0,0,0.0,25.82
25.82,18.430000000000007,29.859999999999992,1,0,0.0,19.71
19.71,25.82,18.430000000000007,2,0,0.0,22.260000000000005
22.260000000000005,19.71,25.82,3,0,0.0,18.409999999999997
18.409999999999997,22.260000000000005,19.71,4,0,0.0,37.68
37.68,18.409999999999997,22.260000000000005,5,1,0.0,26.29
26.29,37.68,18.409999999999997,6,1,0.0,30.72
30.72,26.29,37.68,0,0,0.0,21.55
21.55,30.72,26.29,1,0,0.0,23.01
23.01,21.55,30.72,2,0,0.0,25.349999999999994
25.349999999999994,23.01,21.55,3,0,1.0,30.090000000000003
30.090000000000003,25.349999999999994,23.01,4,0,0.0,35.71
35.71,30.090000000000003,25.349999999999994,5,1,0.0,34.96
34.96,35.71,30.090000000000003,6,1,0.0,29.33
29.33,34.96,35.71,0,0,0.0,26.39
26.39,29.33,34.96,1,0,0.0,25.729999999999997
25.729999999999997,26.39,29.33,2,0,0.0,23.68
23.68,25.729999999999997,26.39,3,0,0.0,19.340000000000003
