trash_generated_today,trash_generated_yesterday,trash_generated_2_days_ago,day_of_week_tomorrow,is_weekend_tomorrow,is_holiday_tomorrow,target_trash_generated_tomorrow
35.39,30.009999999999998,29.26,4,0,0.0,31.75
31.75,35.39,30.009999999999998,5,1,0.0,31.189999999999998
31.189999999999998,31.75,35.39,6,1,1.0,46.07
46.07,31.189999999999998,31.75,0,0,0.0,29.79
29.79,46.07,31.189999999999998,1,0,0.0,24.14
24.14,29.79,46.07,2,0,0.0,31.67
31.67,24.14,29.79,3,0,1.0,43.39999999999999
43.39999999999999,31.67,24.14,4,0,0.0,24.930000000000007
24.930000000000007,43.39999999999999,31.67,5,1,0.0,35.1
35.1,24.930000000000007,43.39999999999999,6,1,0.0,33.10999999999999
33.10999999999999,35.1,24.930000000000007,0,0,0.0,28.570000000000007
28.570000000000007,33.10999999999999,35.1,1,0,0.0,29.31
29.31,28.570000000000007,33.10999999999999,2,0,0.0,29.390000000000004
29.390000000000004,29.31,28.570000000000007,3,0,0.0,28.08
28.08,29.390000000000004,29.31,4,0,0.0,35.74
35.74,28.08,29.390000000000004,5,1,0.0,33.88
33.88,35.74,28.08,6,1,0.0,30.379999999999995
30.379999999999995,33.88,35.74,0,0,0.0,32.53
32.53,30.379999999999995,33.88,1,0,0.0,29.0
29.0,32.53,30.379999999999995,2,0,1.0,38.47
38.47,29.0,32.53,3,0,0.0,33.3
33.3,38.47,29.0,4,0,0.0,31.03
31.03,33.3,38.47,5,1,0.0,30.930000000000007
30.930000000000007,31.03,33.3,6,1,0.0,34.01
34.01,30.930000000000007,31.03,0,0,0.0,30.9
30.9,34.01,30.930000000000007,1,0,0.0,29.460000000000008
29.460000000000008,30.9,34.01,2,0,0.0,32.57
32.57,29.460000000000008,30.9,3,0,0.0,30.979999999999997
30.979999999999997,32.57,29.460000000000008,4,0,0.0,33.790000000000006
33.790000000000006,30.979999999999997,32.57,5,1,0.0,36.69
36.69,33.790000000000006,30.979999999999997,6,1,0.0,32.040000000000006
32.040000000000006,36.69,33.790000000000006,0,0,0.0,29.179999999999993
29.179999999999993,32.040000000000006,36.69,1,0,0.0,31.1
31.1,29.179999999999993,32.040000000000006,2,0,0.0,29.269999999999996
29.269999999999996,31.1,29.179999999999993,3,0,0.0,28.050000000000004
28.050000000000004,29.269999999999996,31.1,4,0,0.0,36.34
36.34,28.050000000000004,29.269999999999996,5,1,0.0,33.28999999999999
33.28999999999999,36.34,28.050000000000004,6,1,0.0,30.370000000000005
30.370000000000005,33.28999999999999,36.34,0,0,0.0,35.8
35.8,30.370000000000005,33.28999999999999,1,0,0.0,29.83
29.83,35.8,30.370000000000005,2,0,0.0,29.230000000000004
29.230000000000004,29.83,35.8,3,0,1.0,42.87
42.87,29.230000000000004,29.83,4,0,0.0,32.63
32.63,42.87,29.230000000000004,5,1,0.0,24.5
24.5,32.63,42.87,6,1,0.0,35.33
35.33,24.5,32.63,0,0,0.0,29.67
29.67,35.33,24.5,1,0,0.0,30.78
30.78,29.67,35.33,2,0,0.0,30.75
30.75,30.78,29.67,3,0,0.0,30.939999999999998
30.939999999999998,30.75,30.78,4,0,0.0,31.260000000000005
31.260000000000005,30.939999999999998,30.75,5,1,0.0,36.39
36.39,31.260000000000005,30.939999999999998,6,1,0.0,33.980000000000004
33.980000000000004,36.39,31.260000000000005,0,0,0.0,28.08999999999999
28.08999999999999,33.980000000000004,36.39,1,0,0.0,28.55
28.55,28.08999999999999,33.980000000000004,2,0,0.0,28.849999999999998
28.849999999999998,28.55,28.08999999999999,3,0,1.0,39.61000000000001
39.61000000000001,28.849999999999998,28.55,4,0,0.0,35.2
