bin_id,date,fullness_today,is_holiday_today,pickup_today
BIN_A05,2024-01-01,57.29,0,0
BIN_A05,2024-01-02,100.0,0,1
BIN_A05,2024-01-03,54.7,0,0
BIN_A05,2024-01-04,100.0,0,1
BIN_A05,2024-01-05,67.22,0,0
BIN_A05,2024-01-06,100.0,0,1
BIN_A05,2024-01-07,86.72,1,1
BIN_A05,2024-01-08,52.75,0,0
BIN_A05,2024-01-09,100.0,0,1
BIN_A05,2024-01-10,57.72,0,0
BIN_A05,2024-01-11,100.0,1,1
BIN_A05,2024-01-12,62.42,0,0
BIN_A05,2024-01-13,100.0,0,1
BIN_A05,2024-01-14,86.56,0,1
BIN_A05,2024-01-15,51.75,0,0
BIN_A05,2024-01-16,100.0,0,1
BIN_A05,2024-01-17,58.59,0,0
BIN_A05,2024-01-18,100.0,0,1
BIN_A05,2024-01-19,65.42,0,0
BIN_A05,2024-01-20,100.0,0,1
BIN_A05,2024-01-21,65.78,0,0
BIN_A05,2024-01-22,100.0,0,1
BIN_A05,2024-01-23,63.94,0,0
BIN_A05,2024-01-24,100.0,1,1
BIN_A05,2024-01-25,65.39,0,0
BIN_A05,2024-01-26,100.0,1,1
BIN_A05,2024-01-27,77.65,0,1
BIN_A05,2024-01-28,64.2,0,0
BIN_A05,2024-01-29,100.0,0,1
BIN_A05,2024-01-30,59.73,0,0
BIN_A05,2024-01-31,100.0,0,1
BIN_A05,2024-02-01,64.04,0,0
BIN_A05,2024-02-02,100.0,0,1
BIN_A05,2024-02-03,83.7,0,1
BIN_A05,2024-02-04,78.15,0,1
BIN_A05,2024-02-05,51.77,0,0
BIN_A05,2024-02-06,100.0,0,1
BIN_A05,2024-02-07,63.28,0,0
BIN_A05,2024-02-08,100.0,0,1
BIN_A05,2024-02-09,66.8,0,0
BIN_A05,2024-02-10,100.0,0,1
BIN_A05,2024-02-11,63.88,0,0
BIN_A05,2024-02-12,100.0,0,1
BIN_A05,2024-02-13,55.8,0,0
BIN_A05,2024-02-14,100.0,0,1
BIN_A05,2024-02-15,81.86,1,1
BIN_A05,2024-02-16,84.63,0,1
BIN_A05,2024-02-17,81.77,0,1
BIN_A05,2024-02-18,86.32,0,1
BIN_A05,2024-02-19,59.32,0,0
BIN_A05,2024-02-20,100.0,0,1
BIN_A05,2024-02-21,51.9,0,0
BIN_A05,2024-02-22,100.0,0,1
BIN_A05,2024-02-23,71.66,0,1
BIN_A05,2024-02-24,63.93,0,0
BIN_A05,2024-02-25,100.0,0,1
BIN_A05,2024-02-26,51.46,0,0
BIN_A05,2024-02-27,100.0,0,1
BIN_A05,2024-02-28,68.11,0,0
BIN_A05,2024-02-29,100.0,1,1
BIN_A05,2024-03-01,75.09,0,1
BIN_A05,2024-03-02,74.04,0,1
BIN_A05,2024-03-03,64.81,0,0
BIN_A05,2024-03-04,100.0,0,1
BIN_A05,2024-03-05,54.98,0,0
BIN_A05,2024-03-06,100.0,0,1
BIN_A05,2024-03-07,64.22,0,0
BIN_A05,2024-03-08,100.0,0,1
BIN_A05,2024-03-09,80.63,0,1
BIN_A05,2024-03-10,74.52,0,1
BIN_A05,2024-03-11,73.16,0,1
BIN_A05,2024-03-12,69.61,0,0
BIN_A05,2024-03-13,100.0,0,1
BIN_A05,2024-03-14,56.26,0,0
BIN_A05,2024-03-15,100.0,0,1
BIN_A05,2024-03-16,65.62,0,0
BIN_A05,2024-03-17,100.0,0,1
BIN_A05,2024-03-18,53.4,0,0
BIN_A05,2024-03-19,100.0,0,1
BIN_A05,2024-03-20,55.86,0,0
BIN_A05,2024-03-21,100.0,0,1
